player,nation,pos,squad,comp,age,born,mp,starts,min,x90s,gls,ast,g_pk,pk,p_katt,crd_y,crd_r,gls_per_90,ast_per_90,gls_ast_per_90,gls_minus_ast_per_90,gls_plus_ast_minus_pk_per_90,xg,npxg,xa,npxg_plus_xa,xg_per_90,xa_per_90,xg_plus_xa_per_90,npxg_per_90,npxg_plus_xa_per_90
Josip Iličić,SVN,"FW,MF",Atalanta,Serie A,32,1988,28,17,1526,17,6,9,4,2,2,2,0,0.35,0.53,0.88,0.24,0.77,5.6,4.1,7.8,11.9,0.33,0.46,0.79,0.24,0.7
Asier Illarramendi,ESP,MF,Real Sociedad,La Liga,30,1990,6,6,337,3.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Stefan Ilsanker,AUT,"MF,DF",Eint Frankfurt,Bundesliga,31,1989,27,17,1578,17.5,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,1.2,1.2,0.2,1.4,0.07,0.01,0.08,0.07,0.08
Ciro Immobile,ITA,FW,Lazio,Serie A,30,1990,35,34,2849,31.7,20,6,16,4,8,4,1,0.63,0.19,0.82,0.51,0.69,19.9,13.9,6.7,20.5,0.63,0.21,0.84,0.44,0.65
Riccardo Improta,ITA,"MF,DF",Benevento,Serie A,26,1993,34,23,2335,25.9,1,0,1,0,0,7,0,0.04,0,0.04,0.04,0.04,2.3,2.3,1.7,4,0.09,0.07,0.16,0.09,0.16
Roberto Inglese,ITA,FW,Parma,Serie A,28,1991,14,6,576,6.4,0,2,0,0,0,2,0,0,0.31,0.31,0,0.31,0.6,0.6,1,1.6,0.09,0.15,0.24,0.09,0.24
Danny Ings,ENG,FW,Southampton,English Premier League,28,1992,29,26,2173,24.1,12,4,10,2,2,1,0,0.5,0.17,0.66,0.41,0.58,8.3,6.7,2.6,9.3,0.34,0.11,0.45,0.28,0.39
Marcus Ingvartsen,DEN,"MF,FW",Union Berlin,Bundesliga,24,1996,30,24,1963,21.8,3,5,3,0,1,4,0,0.14,0.23,0.37,0.14,0.37,4.1,3.4,2.1,5.4,0.19,0.09,0.28,0.16,0.25
Lorenzo Insigne,ITA,FW,Napoli,Serie A,29,1991,35,33,2865,31.8,19,8,12,7,8,2,1,0.6,0.25,0.85,0.38,0.63,16.2,10,8.5,18.4,0.51,0.27,0.77,0.31,0.58
Roberto Insigne,ITA,"MF,FW",Benevento,Serie A,26,1994,30,17,1599,17.8,2,4,2,0,0,2,0,0.11,0.23,0.34,0.11,0.34,3.5,3.5,3.6,7.2,0.2,0.2,0.4,0.2,0.4
Pablo Insua,ESP,DF,Huesca,La Liga,26,1993,20,17,1587,17.6,0,0,0,0,0,9,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0,0.01,0.01,0.01
Takashi Inui,JPN,"MF,FW",Eibar,La Liga,32,1988,28,22,1819,20.2,1,0,1,0,0,0,0,0.05,0,0.05,0.05,0.05,2.4,2.4,1.9,4.3,0.12,0.09,0.21,0.12,0.21
Artur Ioniță,MDA,MF,Benevento,Serie A,29,1990,36,34,2835,31.5,2,0,2,0,0,6,0,0.06,0,0.06,0.06,0.06,1.5,1.5,0.4,1.9,0.05,0.01,0.06,0.05,0.06
Alexander Isak,SWE,FW,Real Sociedad,La Liga,20,1999,34,30,2340,26,17,2,17,0,1,4,0,0.65,0.08,0.73,0.65,0.73,15.5,14.7,2.3,17,0.6,0.09,0.68,0.57,0.66
Isco,ESP,"MF,FW",Real Madrid,La Liga,28,1992,25,8,908,10.1,0,2,0,0,0,1,0,0,0.2,0.2,0,0.2,1.8,1.8,1.7,3.5,0.18,0.17,0.35,0.18,0.35
Ardian Ismajli,ALB,DF,Spezia,Serie A,23,1996,17,14,1297,14.4,1,1,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0,0.5,0.03,0,0.03,0.03,0.03
Branislav Ivanović,SRB,DF,West Brom,English Premier League,36,1984,13,8,767,8.5,0,0,0,0,0,2,0,0,0,0,0,0,0.6,0.6,0.1,0.6,0.06,0.01,0.07,0.06,0.07
Alex Iwobi,NGA,"FW,DF",Everton,English Premier League,24,1996,30,17,1542,17.1,1,2,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,1.1,1.1,1.8,2.9,0.06,0.11,0.17,0.06,0.17
Jairo Izquierdo,ESP,"MF,DF",Cádiz,La Liga,26,1993,30,11,1277,14.2,1,0,1,0,0,4,0,0.07,0,0.07,0.07,0.07,0.8,0.8,0.9,1.8,0.06,0.07,0.12,0.06,0.12
José Izquierdo,COL,DF,Brighton,English Premier League,28,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12
Armando Izzo,ITA,DF,Torino,Serie A,28,1992,25,24,2004,22.3,2,0,2,0,0,3,0,0.09,0,0.09,0.09,0.09,1.4,1.4,0.4,1.8,0.06,0.02,0.08,0.06,0.08
Phil Jagielka,ENG,DF,Sheffield Utd,English Premier League,37,1982,10,6,526,5.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,IRN,"FW,MF",Brighton,English Premier League,26,1993,21,6,528,5.9,0,1,0,0,0,3,0,0,0.17,0.17,0,0.17,1.6,1.6,3.2,4.8,0.28,0.54,0.82,0.28,0.82
Mato Jajalo,BIH,MF,Udinese,Serie A,32,1988,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismail Jakobs,GER,"DF,MF",Köln,Bundesliga,20,1999,23,18,1726,19.2,1,1,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,2,2,2,4,0.1,0.1,0.21,0.1,0.21
Daniel James,WAL,FW,Manchester Utd,English Premier League,22,1997,15,11,910,10.1,3,1,3,0,0,3,0,0.3,0.1,0.4,0.3,0.4,2.3,2.3,1.2,3.5,0.23,0.12,0.34,0.23,0.34
Reece James,ENG,DF,Chelsea,English Premier League,20,1999,32,25,2373,26.4,1,2,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,1.6,1.6,3,4.6,0.06,0.12,0.18,0.06,0.18
Alexandre Jankewitz,SUI,MF,Southampton,English Premier League,18,2001,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saidy Janko,GAM,DF,Valladolid,La Liga,24,1995,19,14,1220,13.6,0,1,0,0,0,4,0,0,0.07,0.07,0,0.07,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06
Jakub Jankto,CZE,MF,Sampdoria,Serie A,24,1996,35,29,2409,26.8,6,3,6,0,0,6,0,0.22,0.11,0.34,0.22,0.34,5.1,5.1,3.1,8.2,0.19,0.12,0.31,0.19,0.31
Tony Jantschke,GER,DF,M'Gladbach,Bundesliga,30,1990,8,3,269,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07
Adnan Januzaj,BEL,"FW,MF",Real Sociedad,La Liga,25,1995,27,12,1014,11.3,4,5,1,3,3,2,0,0.36,0.44,0.8,0.09,0.53,5.1,2.8,4.4,7.2,0.45,0.39,0.85,0.25,0.64
Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,35,1984,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason,ESP,"MF,DF",Valencia,La Liga,26,1994,17,4,441,4.9,0,0,0,0,0,4,1,0,0,0,0,0,0.2,0.2,0.6,0.8,0.03,0.12,0.16,0.03,0.16
Luis Javier Suárez,COL,"FW,MF",Granada,La Liga,22,1997,27,18,1666,18.5,5,1,5,0,0,6,0,0.27,0.05,0.32,0.27,0.32,6.7,6.7,1.4,8,0.36,0.07,0.43,0.36,0.43
Corentin Jean,FRA,"FW,MF",Lens,Ligue 1,25,1995,23,6,580,6.4,1,1,1,0,0,3,0,0.16,0.16,0.31,0.16,0.31,1.3,1.3,0.5,1.7,0.2,0.07,0.27,0.2,0.27
Daniel Jebbison,ENG,FW,Sheffield Utd,English Premier League,17,2003,4,3,284,3.2,1,0,1,0,0,0,0,0.32,0,0.32,0.32,0.32,1.6,1.6,0,1.6,0.5,0.01,0.51,0.5,0.51
Tin Jedvaj,CRO,DF,Leverkusen,Bundesliga,24,1995,3,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Fredrik Jensen,FIN,"FW,MF",Augsburg,Bundesliga,22,1997,13,1,377,4.2,0,1,0,0,0,0,0,0,0.24,0.24,0,0.24,0.3,0.3,1,1.3,0.06,0.25,0.31,0.06,0.31
Jesé,ESP,FW,Paris S-G,Ligue 1,27,1993,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Jesus,BRA,FW,Manchester City,English Premier League,23,1997,29,22,2063,22.9,9,4,9,0,0,2,0,0.39,0.17,0.57,0.39,0.57,8.8,8.8,3.4,12.2,0.38,0.15,0.53,0.38,0.53
Juan Jesus,BRA,DF,Roma,Serie A,29,1991,5,0,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl Jiménez,MEX,FW,Wolves,English Premier League,29,1991,10,10,823,9.1,4,0,4,0,0,0,0,0.44,0,0.44,0.44,0.44,2.4,2.4,0.8,3.1,0.26,0.08,0.34,0.26,0.34
Joaquín,ESP,"FW,MF",Betis,La Liga,39,1981,27,16,1291,14.3,2,6,2,0,0,2,0,0.14,0.42,0.56,0.14,0.56,1,1,2.5,3.5,0.07,0.18,0.24,0.07,0.24
John Joe,IRL,"MF,DF",Getafe,La Liga,16,2003,6,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0,0.18,0.18,0.18
Joelinton,BRA,"FW,MF",Newcastle Utd,English Premier League,23,1996,31,23,1983,22,4,2,3,1,1,3,0,0.18,0.09,0.27,0.14,0.23,6.1,5.3,2.1,7.5,0.28,0.1,0.37,0.24,0.34
Marco John,GER,DF,Hoffenheim,Bundesliga,18,2002,14,12,997,11.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.6,1.8,0.02,0.15,0.16,0.02,0.16
Ben Johnson,ENG,DF,West Ham,English Premier League,20,2000,14,5,523,5.8,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,0.4,0.4,0.2,0.6,0.06,0.04,0.1,0.06,0.1
Sam Johnstone,ENG,GK,West Brom,English Premier League,27,1993,37,37,3330,37,0,1,0,0,0,1,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01
Curtis Jones,ENG,MF,Liverpool,English Premier League,19,2001,24,13,1179,13.1,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,1.4,1.4,1.6,3,0.11,0.12,0.23,0.11,0.23
Frenkie de Jong,NED,"MF,DF",Barcelona,La Liga,23,1997,37,35,3154,35,3,4,3,0,0,5,0,0.09,0.11,0.2,0.09,0.2,5.5,5.5,5.5,11,0.16,0.16,0.31,0.16,0.31
Luuk de Jong,NED,FW,Sevilla,La Liga,29,1990,34,14,1268,14.1,4,0,4,0,0,3,0,0.28,0,0.28,0.28,0.28,3.8,3.8,1.1,4.9,0.27,0.08,0.35,0.27,0.35
Jony,ESP,"MF,FW",Osasuna,La Liga,29,1991,22,9,871,9.7,0,2,0,0,0,0,0,0,0.21,0.21,0,0.21,0.7,0.7,2.3,3,0.07,0.24,0.31,0.07,0.31
Joan Jordán,ESP,MF,Sevilla,La Liga,26,1994,35,28,2406,26.7,1,6,1,0,0,8,1,0.04,0.22,0.26,0.04,0.26,1.5,1.5,2.8,4.3,0.05,0.11,0.16,0.05,0.16
Jorginho,ITA,MF,Chelsea,English Premier League,28,1991,28,23,2010,22.3,7,1,0,7,9,2,0,0.31,0.04,0.36,0,0.04,7,0.1,2.1,2.2,0.31,0.09,0.41,0.01,0.1
Josan,ESP,"MF,DF",Elche,La Liga,30,1989,33,24,1926,21.4,4,2,4,0,0,3,0,0.19,0.09,0.28,0.19,0.28,1.7,1.7,1.6,3.3,0.08,0.07,0.15,0.08,0.15
Willian José,BRA,FW,Wolves,English Premier League,28,1991,17,12,1110,12.3,1,0,1,0,0,0,0,0.08,0,0.08,0.08,0.08,1.9,1.9,0.6,2.4,0.15,0.05,0.2,0.15,0.2
Willian José,BRA,FW,Real Sociedad,La Liga,28,1991,13,8,689,7.7,3,1,3,0,1,0,0,0.39,0.13,0.52,0.39,0.52,4.3,3.5,0.9,4.4,0.56,0.11,0.67,0.46,0.58
Joselu,ESP,FW,Alavés,La Liga,30,1990,37,34,3026,33.6,11,3,9,2,4,1,0,0.33,0.09,0.42,0.27,0.36,13.7,10.6,3,13.6,0.41,0.09,0.5,0.32,0.41
Josema,ESP,DF,Elche,La Liga,24,1996,29,21,1966,21.8,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,0.3,0.3,0.6,0.8,0.01,0.03,0.04,0.01,0.04
Jota,POR,"MF,FW",Valladolid,La Liga,21,1999,17,7,668,7.4,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,1.1,1.1,0.2,1.2,0.14,0.02,0.17,0.14,0.17
Jota,ESP,MF,Alavés,La Liga,29,1991,23,18,1398,15.5,0,2,0,0,0,5,1,0,0.13,0.13,0,0.13,0.9,0.9,1.9,2.8,0.06,0.12,0.18,0.06,0.18
Diogo Jota,POR,FW,Liverpool,English Premier League,23,1996,19,12,1112,12.4,9,0,9,0,0,2,0,0.73,0,0.73,0.73,0.73,6.6,6.6,1.6,8.2,0.53,0.13,0.66,0.53,0.66
Stevan Jovetić,MNE,"FW,MF",Monaco,Ligue 1,30,1989,29,6,802,8.9,6,0,6,0,1,1,0,0.67,0,0.67,0.67,0.67,5.5,4.3,0.9,5.2,0.62,0.1,0.72,0.49,0.59
Luka Jović,SRB,"FW,MF",Real Madrid,La Liga,22,1997,4,2,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,0.67,0.08,0.75,0.67,0.75
Luka Jović,SRB,"FW,MF",Eint Frankfurt,Bundesliga,22,1997,18,8,894,9.9,4,1,4,0,0,2,0,0.4,0.1,0.5,0.4,0.5,2.7,2.7,0.6,3.4,0.28,0.06,0.34,0.28,0.34
Juanmi,ESP,"FW,MF",Betis,La Liga,27,1993,16,5,604,6.7,2,0,2,0,0,1,0,0.3,0,0.3,0.3,0.3,3,3,0.1,3.1,0.45,0.01,0.46,0.45,0.46
Hamed Junior Traorè,CIV,"FW,MF",Sassuolo,Serie A,20,2000,35,20,1789,19.9,5,2,5,0,0,6,0,0.25,0.1,0.35,0.25,0.35,4.4,4.4,3.6,8,0.22,0.18,0.4,0.22,0.4
Vinicius Júnior,BRA,FW,Real Madrid,La Liga,20,2000,35,22,1969,21.9,3,3,3,0,0,3,0,0.14,0.14,0.27,0.14,0.27,6.5,6.5,3.1,9.6,0.3,0.14,0.44,0.3,0.44
James Justin,ENG,DF,Leicester City,English Premier League,22,1998,23,23,2070,23,2,1,2,0,0,4,0,0.09,0.04,0.13,0.09,0.13,1.6,1.6,1.6,3.2,0.07,0.07,0.14,0.07,0.14
Musa Juwara,GAM,DF,Bologna,Serie A,18,2001,5,0,46,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Jens Jønsson,DEN,MF,Cádiz,La Liga,27,1993,35,33,2615,29.1,0,0,0,0,0,6,0,0,0,0,0,0,0.8,0.8,1.7,2.5,0.03,0.06,0.09,0.03,0.09
Ozan Kabak,TUR,DF,Liverpool,English Premier League,20,2000,9,9,801,8.9,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03
Ozan Kabak,TUR,DF,Schalke 04,Bundesliga,20,2000,14,14,1243,13.8,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0.2,1.2,0.07,0.01,0.09,0.07,0.09
Abdoul Kader Bamba,FRA,"FW,MF",Nantes,Ligue 1,26,1994,29,6,917,10.2,3,1,3,0,1,2,0,0.29,0.1,0.39,0.29,0.39,2.8,2,1.8,3.8,0.27,0.18,0.45,0.2,0.37
Pavel Kadeřábek,CZE,DF,Hoffenheim,Bundesliga,28,1992,20,17,1588,17.6,0,4,0,0,0,3,0,0,0.23,0.23,0,0.23,1.2,1.2,3.3,4.5,0.07,0.19,0.25,0.07,0.25
Tino Kadewere,ZIM,FW,Lyon,Ligue 1,24,1996,33,24,2009,22.3,10,3,10,0,0,4,0,0.45,0.13,0.58,0.45,0.58,10.2,10.2,3.5,13.7,0.46,0.16,0.62,0.46,0.62
Damian Kądzior,POL,"FW,MF",Eibar,La Liga,28,1992,6,2,195,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.01,0.06,0.05,0.06
Florian Kainz,AUT,"FW,MF",Köln,Bundesliga,27,1992,8,6,447,5,1,0,1,0,0,0,0,0.2,0,0.2,0.2,0.2,0.6,0.6,1,1.6,0.12,0.21,0.32,0.12,0.32
Gaël Kakuta,COD,"MF,FW",Lens,Ligue 1,29,1991,35,30,2394,26.6,11,5,4,7,9,3,0,0.41,0.19,0.6,0.15,0.34,11.4,4.6,6.3,10.9,0.43,0.24,0.67,0.17,0.41
Sasa Kalajdzic,AUT,FW,Stuttgart,Bundesliga,23,1997,33,23,2136,23.7,16,5,16,0,0,1,0,0.67,0.21,0.88,0.67,0.88,9,9,3.5,12.5,0.38,0.15,0.53,0.38,0.53
Arnaud Kalimuendo,FRA,FW,Paris S-G,Ligue 1,18,2002,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.47,0.11,0.58,0.47,0.58
Arnaud Kalimuendo,FRA,FW,Lens,Ligue 1,18,2002,28,13,1218,13.5,7,3,7,0,0,0,0,0.52,0.22,0.74,0.52,0.74,6,6,1.9,7.9,0.44,0.14,0.58,0.44,0.58
Nikola Kalinić,CRO,FW,Hellas Verona,Serie A,32,1988,19,15,1063,11.8,2,0,2,0,0,2,0,0.17,0,0.17,0.17,0.17,4,4,0.3,4.3,0.34,0.03,0.36,0.34,0.36
Yayah Kallon,SLE,"FW,MF",Genoa,Serie A,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.28,0.08,0.36,0.28,0.36
Samuel Kalu,NGA,"FW,MF",Bordeaux,Ligue 1,22,1997,20,14,964,10.7,4,1,4,0,0,3,0,0.37,0.09,0.47,0.37,0.47,1.5,1.5,0.5,2,0.14,0.04,0.19,0.14,0.19
Pierre Kalulu,FRA,DF,Milan,Serie A,20,2000,13,7,727,8.1,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,0.6,0.6,0.4,1,0.08,0.05,0.13,0.08,0.13
Daichi Kamada,JPN,"MF,FW",Eint Frankfurt,Bundesliga,23,1996,32,28,2356,26.2,5,12,5,0,0,3,0,0.19,0.46,0.65,0.19,0.65,5.6,5.6,7.5,13,0.21,0.28,0.5,0.21,0.5
Aboubakar Kamara,MTN,"FW,MF",Dijon,Ligue 1,25,1995,10,7,557,6.2,1,0,1,0,0,1,1,0.16,0,0.16,0.16,0.16,0.8,0.8,0.7,1.5,0.13,0.12,0.25,0.13,0.25
Aboubakar Kamara,MTN,"FW,DF",Fulham,English Premier League,25,1995,11,2,315,3.5,0,0,0,0,0,1,1,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.11,0.22,0.11,0.22
Bingourou Kamara,SEN,GK,Strasbourg,Ligue 1,23,1996,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boubacar Kamara,FRA,MF,Marseille,Ligue 1,20,1999,35,35,2894,32.2,0,2,0,0,0,6,0,0,0.06,0.06,0,0.06,0.7,0.7,1.1,1.8,0.02,0.03,0.06,0.02,0.06
Hassane Kamara,CIV,DF,Nice,Ligue 1,25,1994,36,34,2960,32.9,2,1,2,0,0,3,0,0.06,0.03,0.09,0.06,0.09,1.1,1.1,2.2,3.3,0.03,0.07,0.1,0.03,0.1
Marcin Kamiński,POL,DF,Stuttgart,Bundesliga,28,1992,5,2,219,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.1,0.1,0,0.1
Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,29,1990,27,24,1932,21.5,0,1,0,0,0,6,0,0,0.05,0.05,0,0.05,1.2,1.2,1.9,3.1,0.05,0.09,0.14,0.05,0.14
Harry Kane,ENG,FW,Tottenham,English Premier League,27,1993,35,35,3082,34.2,23,14,19,4,4,1,0,0.67,0.41,1.08,0.55,0.96,20.5,17.5,7.4,24.8,0.6,0.22,0.81,0.51,0.73
Wilfried Kanga,FRA,FW,Angers,Ligue 1,22,1998,2,2,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.18,0,0.18,0.18,0.18
Lee Kangin,KOR,"FW,MF",Valencia,La Liga,19,2001,24,15,1262,14,0,4,0,0,0,1,0,0,0.29,0.29,0,0.29,1.2,1.2,2.5,3.8,0.09,0.18,0.27,0.09,0.27
N'Golo Kanté,FRA,MF,Chelsea,English Premier League,29,1991,30,24,2146,23.8,0,2,0,0,0,7,0,0,0.08,0.08,0,0.08,0.9,0.9,1.1,2,0.04,0.05,0.08,0.04,0.08
Jimmy Kaparos,GER,MF,Schalke 04,Bundesliga,18,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yann Karamoh,FRA,"FW,MF",Parma,Serie A,22,1998,24,16,1294,14.4,2,1,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,3.3,3.3,2,5.3,0.23,0.14,0.37,0.23,0.37
Isaac Karamoko,FRA,DF,Sassuolo,Serie A,18,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atakan Karazor,GER,"DF,MF",Stuttgart,Bundesliga,23,1996,19,10,1037,11.5,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02
Augustus Kargbo,SLE,FW,Crotone,Serie A,20,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,GER,GK,Union Berlin,Bundesliga,27,1993,4,3,292,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Karsdorp,NED,DF,Roma,Serie A,25,1995,34,28,2544,28.3,1,6,1,0,0,2,0,0.04,0.21,0.25,0.04,0.25,0.9,0.9,5.1,6,0.03,0.18,0.21,0.03,0.21
Silas Katompa,COD,"DF,FW",Stuttgart,Bundesliga,21,1998,25,24,1919,21.3,11,4,8,3,3,6,0,0.52,0.19,0.7,0.38,0.56,7.3,5.1,5.1,10.1,0.34,0.24,0.58,0.24,0.48
Noah Katterbach,GER,DF,Köln,Bundesliga,19,2001,21,12,1111,12.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.2,1.4,0.01,0.1,0.11,0.01,0.11
Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,37,1983,24,24,2160,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moise Kean,ITA,FW,Everton,English Premier League,20,2000,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21
Moise Kean,ITA,FW,Paris S-G,Ligue 1,20,2000,26,22,1698,18.9,13,0,13,0,0,4,0,0.69,0,0.69,0.69,0.69,10.7,10.7,0.9,11.6,0.57,0.05,0.61,0.57,0.61
Michael Keane,ENG,DF,Everton,English Premier League,27,1993,35,33,2991,33.2,3,1,3,0,0,4,0,0.09,0.03,0.12,0.09,0.12,1.2,1.2,1.1,2.3,0.04,0.03,0.07,0.04,0.07
Neeskens Kebano,COD,"FW,MF",Fulham,English Premier League,28,1992,5,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.22,0,0.22,0.22,0.22
Thilo Kehrer,GER,DF,Paris S-G,Ligue 1,23,1996,24,16,1616,18,0,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,0.7,1.5,0.04,0.04,0.08,0.04,0.08
Habib Keita,MLI,MF,Lyon,Ligue 1,18,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,5.63,0,5.63,5.63,5.63
Naby Keïta,GUI,MF,Liverpool,English Premier League,25,1995,10,7,520,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.8,1.3,0.09,0.14,0.23,0.09,0.23
Yannik Keitel,GER,MF,Freiburg,Bundesliga,20,2000,12,4,498,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.06,0.04,0.1,0.06,0.1
Caoimhín Kelleher,IRL,GK,Liverpool,English Premier League,21,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephane Keller,CMR,DF,Alavés,La Liga,18,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Kelly,ENG,DF,Crystal Palace,English Premier League,30,1990,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc-Oliver Kempf,GER,DF,Stuttgart,Bundesliga,25,1995,32,32,2727,30.3,2,1,2,0,0,5,0,0.07,0.03,0.1,0.07,0.1,1.3,1.3,0.4,1.7,0.04,0.01,0.06,0.04,0.06
Kenedy,BRA,"FW,MF",Granada,La Liga,24,1996,28,18,1471,16.3,4,3,4,0,0,3,0,0.24,0.18,0.43,0.24,0.43,2.1,2.1,2.6,4.7,0.13,0.16,0.29,0.13,0.29
Jonjoe Kenny,ENG,"DF,FW",Everton,English Premier League,23,1997,4,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franck Kessié,CIV,MF,Milan,Serie A,23,1996,37,36,3226,35.8,13,4,2,11,13,8,0,0.36,0.11,0.47,0.06,0.17,13.6,3.7,2.8,6.4,0.38,0.08,0.45,0.1,0.18
Reda Khadra,GER,FW,Brighton,English Premier League,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Khailoti,ITA,DF,Bologna,Serie A,18,2001,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saîf-Eddine Khaoui,TUN,"FW,MF",Marseille,Ligue 1,25,1995,17,5,606,6.7,2,1,2,0,0,4,0,0.3,0.15,0.45,0.3,0.45,0.8,0.8,0.2,1,0.11,0.03,0.14,0.11,0.14
Wahbi Khazri,TUN,FW,Saint-Étienne,Ligue 1,29,1991,22,16,1181,13.1,7,1,4,3,3,5,1,0.53,0.08,0.61,0.3,0.38,4.9,2.6,1.5,4.1,0.37,0.11,0.48,0.2,0.31
Rani Khedira,GER,MF,Augsburg,Bundesliga,26,1994,27,23,1818,20.2,1,0,1,0,0,5,0,0.05,0,0.05,0.05,0.05,1,1,0.2,1.2,0.05,0.01,0.06,0.05,0.06
Sami Khedira,GER,MF,Hertha BSC,Bundesliga,33,1987,9,4,395,4.4,0,1,0,0,0,1,0,0,0.23,0.23,0,0.23,0,0,0.5,0.5,0.01,0.11,0.12,0.01,0.12
