player,nation,squad,comp,age,born,per_90,gls,sh,so_t,so_t_percent,sh_per_90,so_t_per_90,g_per_sh,g_per_so_t,dist,fk,pk,p_katt,x_g,npx_g,npxg_per_sh,g_minus_xg,npg_minus_xg
Morgan Sanson,FRA,Aston Villa,English Premier League,25,1994,3.3,0,2,0,0,0.61,0,0,NA,27,0,0,0,0,0,0.01,0,0
Nicola Sansone,ITA,Bologna,Serie A,28,1991,13,2,31,13,41.9,2.39,1,0.06,0.15,16.8,3,0,0,3.8,3.8,0.12,-1.8,-1.8
Baptiste Santamaria,FRA,Angers,Ligue 1,25,1995,3,0,6,3,50,2,1,0,0,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Baptiste Santamaria,FRA,Freiburg,Bundesliga,25,1995,24.5,1,29,8,27.6,1.18,0.33,0.03,0.13,22.5,0,0,0,1.9,1.9,0.06,-0.9,-0.9
Federico Santander,PAR,Bologna,Serie A,29,1991,0.4,0,5,0,0,12.16,0,0,NA,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Davide Santon,ITA,Roma,Serie A,29,1991,6.5,0,5,0,0,0.77,0,0,NA,14.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Samir Santos,BRA,Udinese,Serie A,25,1994,24.6,1,11,3,27.3,0.45,0.12,0.09,0.33,9.6,0,0,0,1.2,1.2,0.11,-0.2,-0.2
Riccardo Saponara,ITA,Fiorentina,Serie A,28,1991,0.6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Riccardo Saponara,ITA,Spezia,Serie A,28,1991,4.3,2,10,4,40,2.31,0.93,0.2,0.5,14.3,0,0,0,1,1,0.1,1,1
Ivan Šaponjić,SRB,Cádiz,La Liga,22,1997,4.3,1,10,5,50,2.32,1.16,0,0,10.6,0,1,1,1.7,0.9,0.09,-0.7,-0.9
Pablo Sarabia,ESP,Paris S-G,Ligue 1,28,1992,14.7,6,36,18,50,2.45,1.23,0.17,0.33,14.3,2,0,0,4.8,4.8,0.13,1.2,1.2
Josh Sargent,USA,Werder Bremen,Bundesliga,20,2000,27.8,5,46,19,41.3,1.65,0.68,0.11,0.26,14.6,0,0,0,5.2,5.2,0.11,-0.2,-0.2
Bouna Sarr,SEN,Bayern Munich,Bundesliga,28,1992,5,0,3,0,0,0.6,0,0,NA,28.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Bouna Sarr,SEN,Marseille,Ligue 1,28,1992,0.8,0,1,0,0,1.18,0,0,NA,28.6,0,0,0,0,0,0.02,0,0
Sidy Sarr,SEN,Nîmes,Ligue 1,24,1996,5.1,0,9,1,11.1,1.75,0.19,0,0,22.2,1,0,0,0.4,0.4,0.04,-0.4,-0.4
Marco Sau,ITA,Benevento,Serie A,32,1987,8.7,4,10,5,50,1.15,0.57,0.3,0.6,16.3,1,1,1,2.4,1.6,0.16,1.6,1.4
Téji Savanier,FRA,Montpellier,Ligue 1,28,1991,24.1,5,54,16,29.6,2.24,0.67,0.06,0.19,25.2,11,2,4,5.8,2.7,0.05,-0.8,0.3
Stefan Savić,MNE,Atlético Madrid,La Liga,29,1991,32.8,1,7,2,28.6,0.21,0.06,0.14,0.5,5,0,0,0,0.9,0.9,0.13,0.1,0.1
Romaine Sawyers,SKN,West Brom,English Premier League,28,1991,16.5,0,4,0,0,0.24,0,0,NA,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Gianluca Scamacca,ITA,Genoa,Serie A,21,1999,15,8,46,16,34.8,3.06,1.07,0.13,0.38,16.9,1,2,2,7.3,5.7,0.12,0.7,0.3
Dane Scarlett,ENG,Tottenham,English Premier League,16,2004,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Fabian Schär,SUI,Newcastle Utd,English Premier League,28,1991,13.8,1,10,4,40,0.72,0.29,0,0,28.4,3,1,1,1.2,0.4,0.04,-0.2,-0.4
Aurélien Scheidler,FRA,Dijon,Ligue 1,22,1998,3.8,1,7,2,28.6,1.84,0.53,0.14,0.5,18.5,0,0,0,0.5,0.5,0.08,0.5,0.5
Nicolás Schiappacasse,URU,Sassuolo,Serie A,21,1999,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Pasquale Schiattarella,ITA,Benevento,Serie A,33,1987,25,1,9,6,66.7,0.36,0.24,0.11,0.17,16.3,0,0,0,1.1,1.1,0.12,-0.1,-0.1
Patrik Schick,CZE,Leverkusen,Bundesliga,24,1996,20.7,9,57,23,40.4,2.75,1.11,0.16,0.39,11.3,1,0,0,9.7,9.7,0.17,-0.7,-0.7
Sven Schipplock,GER,Arminia,Bundesliga,31,1988,8.3,1,14,5,35.7,1.69,0.6,0.07,0.2,16.6,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Xaver Schlager,AUT,Wolfsburg,Bundesliga,22,1997,29.2,2,48,4,8.3,1.65,0.14,0.04,0.5,20.9,0,0,0,2.8,2.8,0.06,-0.8,-0.8
Keven Schlotterbeck,GER,Freiburg,Bundesliga,23,1997,18.4,0,9,1,11.1,0.49,0.05,0,0,14.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Nico Schlotterbeck,GER,Union Berlin,Bundesliga,20,1999,14.3,1,23,8,34.8,1.61,0.56,0.04,0.13,12,0,0,0,1.3,1.3,0.06,-0.3,-0.3
Jeffrey Schlupp,GHA,Crystal Palace,English Premier League,27,1992,15.9,2,18,10,55.6,1.13,0.63,0.11,0.2,13.4,0,0,0,1.6,1.6,0.09,0.4,0.4
Kasper Schmeichel,DEN,Leicester City,English Premier League,33,1986,38,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Jonathan Schmid,FRA,Freiburg,Bundesliga,30,1990,26.6,2,22,9,40.9,0.83,0.34,0.09,0.22,21.2,6,0,0,1.4,1.4,0.06,0.6,0.6
Romano Schmid,AUT,Werder Bremen,Bundesliga,20,2000,13.1,0,18,3,16.7,1.38,0.23,0,0,22,0,0,0,0.6,0.6,0.03,-0.6,-0.6
Benno Schmitz,GER,Köln,Bundesliga,25,1994,4.6,0,4,1,25,0.87,0.22,0,0,16,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Morgan Schneiderlin,FRA,Nice,Ligue 1,30,1989,24.4,0,11,4,36.4,0.45,0.16,0,0,16.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Alessandro Schöpf,AUT,Schalke 04,Bundesliga,26,1994,10.5,0,11,1,9.1,1.05,0.1,0,0,19.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Jerdy Schouten,NED,Bologna,Serie A,23,1997,27.9,1,9,4,44.4,0.32,0.14,0.11,0.25,25.8,0,0,0,0.3,0.3,0.03,0.7,0.7
Nico Schulz,GER,Dortmund,Bundesliga,27,1993,6.8,0,2,0,0,0.3,0,0,NA,21.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Alexander Schwolow,GER,Hertha BSC,Bundesliga,28,1992,26,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Christopher Scott,GER,Bayern Munich,Bundesliga,18,2002,0.4,0,1,0,0,2.65,0,0,NA,22.8,0,0,0,0,0,0.03,0,0
Matteo Scozzarella,ITA,Parma,Serie A,32,1988,1.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Simone Scuffet,ITA,Udinese,Serie A,24,1996,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Jacopo Segre,ITA,Torino,Serie A,23,1997,2.1,0,4,1,25,1.88,0.47,0,0,14.8,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Davie Selke,GER,Werder Bremen,Bundesliga,25,1995,9,3,27,12,44.4,2.99,1.33,0.07,0.17,12.8,0,1,1,3.6,2.8,0.12,-0.6,-0.8
Malik Sellouki,FRA,Nice,Ligue 1,20,2000,0.7,1,4,1,25,5.45,1.36,0.25,1,17.1,1,0,0,0.3,0.3,0.06,0.7,0.7
Matz Sels,BEL,Strasbourg,Ligue 1,28,1992,6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Nélson Semedo,POR,Wolves,English Premier League,26,1993,33.1,1,23,11,47.8,0.69,0.33,0.04,0.09,20.9,0,0,0,1.9,1.9,0.08,-0.9,-0.9
Léo Sena,BRA,Spezia,Serie A,24,1995,9.8,0,2,0,0,0.2,0,0,NA,22,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Stefano Sensi,ITA,Inter,Serie A,24,1995,6.7,0,18,8,44.4,2.69,1.19,0,0,20.5,1,0,0,1.1,1.1,0.06,-1.1,-1.1
Jaime Seoane,ESP,Huesca,La Liga,23,1997,22.9,1,24,9,37.5,1.05,0.39,0.04,0.11,20.8,0,0,0,1.3,1.3,0.05,-0.3,-0.3
Luigi Sepe,ITA,Parma,Serie A,29,1991,36,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Suat Serdar,GER,Schalke 04,Bundesliga,23,1997,21.7,1,32,9,28.1,1.47,0.41,0.03,0.11,19.3,0,0,0,2.2,2.2,0.07,-1.2,-1.2
Jean Seri,CIV,Bordeaux,Ligue 1,29,1991,7.9,0,4,0,0,0.51,0,0,NA,22.8,2,0,0,0.1,0.1,0.03,-0.1,-0.1
Femi Seriki,ENG,Sheffield Utd,English Premier League,18,2002,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Ryan Sessegnon,ENG,Hoffenheim,Bundesliga,20,2000,17.5,2,5,2,40,0.29,0.11,0.4,1,10.6,0,0,0,0.6,0.6,0.11,1.4,1.4
Nils Seufert,GER,Arminia,Bundesliga,23,1997,3.8,0,1,0,0,0.26,0,0,NA,19.2,0,0,0,0,0,0.04,0,0
Edgar Sevikyan,RUS,Levante,La Liga,18,2001,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Stephan El Shaarawy,ITA,Roma,Serie A,27,1992,6.4,1,16,7,43.8,2.52,1.1,0.06,0.14,17.4,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Jamie Shackleton,ENG,Leeds United,English Premier League,20,1999,5.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Xherdan Shaqiri,SUI,Liverpool,English Premier League,28,1991,6.2,0,11,0,0,1.78,0,0,NA,21.8,1,0,0,0.4,0.4,0.04,-0.4,-0.4
Billy Sharp,ENG,Sheffield Utd,English Premier League,34,1986,8.2,3,7,3,42.9,0.86,0.37,0.14,0.33,15.3,0,2,2,2.7,1.2,0.17,0.3,-0.2
Luke Shaw,ENG,Manchester Utd,English Premier League,25,1995,29.5,1,11,6,54.5,0.37,0.2,0.09,0.17,18.1,0,0,0,0.7,0.7,0.06,0.3,0.3
Jonjo Shelvey,ENG,Newcastle Utd,English Premier League,28,1992,29.1,1,42,9,21.4,1.44,0.31,0.02,0.11,23.2,11,0,0,2.5,2.5,0.06,-1.5,-1.5
Eldor Shomurodov,UZB,Genoa,Serie A,25,1995,18.6,8,38,18,47.4,2.04,0.97,0.21,0.44,14.6,0,0,0,5.1,5.1,0.13,2.9,2.9
Shola Shoretire,ENG,Manchester Utd,English Premier League,16,2004,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Mahame Siby,MLI,Strasbourg,Ligue 1,24,1996,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Abdoulaye Sidibé,FRA,Saint-Étienne,Ligue 1,18,2002,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Djibril Sidibé,FRA,Monaco,Ligue 1,28,1992,22,0,4,0,0,0.18,0,0,NA,29.5,3,0,0,0.1,0.1,0.03,-0.1,-0.1
Sidnei,BRA,Betis,La Liga,30,1989,7.7,0,1,0,0,0.13,0,0,NA,5.1,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Kaj Sierhuis,NED,Reims,Ligue 1,22,1998,7.2,0,13,3,23.1,1.79,0.41,0,0,16.4,1,0,0,1.1,1.1,0.09,-1.1,-1.1
Tim Siersleben,GER,Wolfsburg,Bundesliga,20,2000,0.4,0,1,0,0,2.65,0,0,NA,16.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Gylfi Sigurðsson,ISL,Everton,English Premier League,30,1989,25,6,45,12,26.7,1.8,0.48,0.07,0.25,21.3,7,3,4,6.8,3.8,0.08,-0.8,-0.8
Luca Siligardi,ITA,Crotone,Serie A,32,1988,0.5,0,2,1,50,3.67,1.84,0,0,16,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Luca Siligardi,ITA,Parma,Serie A,32,1988,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Adrien Silva,POR,Sampdoria,Serie A,31,1989,17.8,1,6,1,16.7,0.34,0.06,0.17,1,22.3,0,0,0,0.4,0.4,0.06,0.6,0.6
André Silva,POR,Eint Frankfurt,Bundesliga,24,1995,30.7,28,107,53,49.5,3.49,1.73,0.2,0.4,12.6,3,7,7,24.3,18.9,0.18,3.7,2.1
Bernardo Silva,POR,Manchester City,English Premier League,25,1994,22.9,2,28,13,46.4,1.22,0.57,0.07,0.15,14.7,0,0,0,2.8,2.8,0.1,-0.8,-0.8
Caio Henrique Oliveira Silva,BRA,Monaco,Ligue 1,23,1997,26.3,0,5,1,20,0.19,0.04,0,0,15.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
David Silva,ESP,Real Sociedad,La Liga,34,1986,15.5,2,20,3,15,1.29,0.19,0.1,0.67,13.4,2,0,0,2.9,2.9,0.14,-0.9,-0.9
Fábio Silva,POR,Wolves,English Premier League,18,2002,15.2,4,46,16,34.8,3.02,1.05,0.07,0.19,12.9,0,1,1,6,5.3,0.11,-2,-2.3
Florent da Silva,FRA,Lyon,Ligue 1,17,2003,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Gabriel Silva,BRA,Saint-Étienne,Ligue 1,29,1991,3.9,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Gastón Silva,URU,Huesca,La Liga,26,1994,6.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Rui Silva,POR,Granada,La Liga,26,1994,32,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Thiago Silva,BRA,Chelsea,English Premier League,35,1984,21.5,2,13,4,30.8,0.6,0.19,0.15,0.5,8,0,0,0,1.1,1.1,0.09,0.9,0.9
Marco Silvestri,ITA,Hellas Verona,Serie A,29,1991,34,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Mohamed Simakan,FRA,Strasbourg,Ligue 1,20,2000,17.9,1,14,4,28.6,0.78,0.22,0.07,0.25,14.2,0,0,0,1.5,1.5,0.1,-0.5,-0.5
Giovanni Simeone,ARG,Cagliari,Serie A,25,1995,19.3,6,43,13,30.2,2.22,0.67,0.14,0.46,13.3,0,0,0,8.1,8.1,0.19,-2.1,-2.1
Moses Simon,NGA,Nantes,Ligue 1,25,1995,25.8,6,37,16,43.2,1.43,0.62,0.14,0.31,13.9,1,1,1,8.3,7.6,0.2,-2.3,-2.6
Unai Simón,ESP,Athletic Club,La Liga,23,1997,37,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Xavi Simons,NED,Paris S-G,Ligue 1,17,2003,0,0,1,0,0,45,0,0,NA,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jóan Símun Edmundsson,FRO,Arminia,Bundesliga,29,1991,0.6,1,3,2,66.7,4.66,3.1,0.33,0.5,13,0,0,0,0.5,0.5,0.17,0.5,0.5
Wilfried Singo,CIV,Torino,Serie A,19,2000,20.6,1,10,1,10,0.49,0.05,0.1,1,14.2,0,0,0,1.1,1.1,0.11,-0.1,-0.1
Daley Sinkgraven,NED,Leverkusen,Bundesliga,25,1995,17.4,0,6,1,16.7,0.34,0.06,0,0,18.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Dimitris Siovas,GRE,Huesca,La Liga,31,1988,34.1,2,29,8,27.6,0.85,0.23,0.07,0.25,10.5,0,0,0,1.9,1.9,0.07,0.1,0.1
Tobias Sippel,GER,M'Gladbach,Bundesliga,32,1988,3.8,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Salvatore Sirigu,ITA,Torino,Serie A,33,1987,32,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Issouf Sissokho,MLI,Bordeaux,Ligue 1,18,2002,0.9,1,2,1,50,2.31,1.15,0.5,1,25.5,0,0,0,0.1,0.1,0.03,0.9,0.9
Ibrahima Sissoko,FRA,Strasbourg,Ligue 1,22,1997,28.7,0,24,3,12.5,0.84,0.1,0,0,18.7,0,0,0,1.3,1.3,0.05,-1.3,-1.3
Moussa Sissoko,FRA,Tottenham,English Premier League,30,1989,17.6,0,3,1,33.3,0.17,0.06,0,0,13.2,0,0,0,0.4,0.4,0.12,-0.4,-0.4
Nelson Sissoko,FRA,Saint-Étienne,Ligue 1,23,1997,5.3,0,1,0,0,0.19,0,0,NA,46.6,0,0,0,0,0,0.02,0,0
Antonio Sivera,ESP,Alavés,La Liga,23,1996,0.8,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Jacques Siwe,FRA,Dijon,Ligue 1,19,2001,1.9,0,3,0,0,1.6,0,0,NA,16.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3
Ellyes Skhiri,TUN,Köln,Bundesliga,25,1995,30.9,5,17,7,41.2,0.55,0.23,0.29,0.71,10.2,0,0,0,3.9,3.9,0.23,1.1,1.1
Łukasz Skorupski,POL,Bologna,Serie A,29,1991,28,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Andreas Skov Olsen,DEN,Bologna,Serie A,20,1999,13.1,2,30,10,33.3,2.29,0.76,0.07,0.2,18.5,2,0,0,3.5,3.5,0.12,-1.5,-1.5
Robert Skov,DEN,Hoffenheim,Bundesliga,24,1996,12.9,1,32,7,21.9,2.47,0.54,0.03,0.14,23.2,8,0,0,2.1,2.1,0.06,-1.1,-1.1
Milan Škriniar,SVK,Inter,Serie A,25,1995,30.9,3,15,6,40,0.49,0.19,0.2,0.5,8.6,0,0,0,1.8,1.8,0.12,1.2,1.2
Steven Skrzybski,GER,Schalke 04,Bundesliga,27,1992,4.7,0,7,1,14.3,1.5,0.21,0,0,21.4,0,0,1,1.3,0.5,0.08,-1.3,-0.5
Petar Škuletić,SRB,Montpellier,Ligue 1,30,1990,2.6,2,10,5,50,3.85,1.92,0.2,0.4,14.9,0,0,0,1.6,1.6,0.16,0.4,0.4
Islam Slimani,ALG,Leicester City,English Premier League,32,1988,0.2,0,1,0,0,4.5,0,0,NA,11,0,0,0,0,0,0.04,0,0
Islam Slimani,ALG,Lyon,Ligue 1,32,1988,6.4,3,19,7,36.8,2.95,1.09,0.16,0.43,11,0,0,0,2.8,2.8,0.15,0.2,0.2
William Smallbone,IRL,Southampton,English Premier League,20,2000,1.9,0,1,1,100,0.52,0.52,0,0,19.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Chris Smalling,ENG,Roma,Serie A,30,1989,12.3,0,7,1,14.3,0.57,0.08,0,0,8.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Emile Smith-Rowe,ENG,Arsenal,English Premier League,20,2000,16,2,13,4,30.8,0.81,0.25,0.15,0.5,16.8,0,0,0,2,2,0.15,0,0
Robert Snodgrass,SCO,West Brom,English Premier League,32,1987,5.8,0,4,1,25,0.68,0.17,0,0,17.6,1,0,0,0.2,0.2,0.05,-0.2,-0.2
Robert Snodgrass,SCO,West Ham,English Premier League,32,1987,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Cédric Soares,POR,Arsenal,English Premier League,28,1991,8.3,0,7,2,28.6,0.84,0.24,0,0,24.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Rafa Soares,POR,Eibar,La Liga,25,1995,12.6,0,2,0,0,0.16,0,0,NA,19.9,0,0,0,0,0,0.02,0,0
Rubén Sobrino,ESP,Valencia,La Liga,28,1992,0.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Rubén Sobrino,ESP,Cádiz,La Liga,28,1992,12.4,1,9,5,55.6,0.73,0.4,0.11,0.2,12.1,0,0,0,2.4,2.4,0.26,-1.4,-1.4
Simon Sohm,SUI,Parma,Serie A,19,2001,10,1,5,1,20,0.5,0.1,0.2,1,18,0,0,0,1.2,1.2,0.23,-0.2,-0.2
Augusto Solari,ARG,Celta Vigo,La Liga,28,1992,5.4,2,5,3,60,0.93,0.56,0.4,0.67,23.5,0,0,0,1.3,1.3,0.25,0.7,0.7
Roberto Soldado,ESP,Granada,La Liga,35,1985,16,9,29,10,34.5,1.82,0.63,0.24,0.7,15.9,2,2,2,5.8,4.4,0.15,3.2,2.6
Carlos Soler,ESP,Valencia,La Liga,23,1997,30.4,11,29,9,31,0.95,0.3,0.14,0.44,25.8,8,7,9,9.5,2.7,0.09,1.5,1.3
Yann Sommer,SUI,M'Gladbach,Bundesliga,31,1988,30.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Son,ESP,Levante,La Liga,26,1994,12.3,0,8,5,62.5,0.65,0.41,0,0,18.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Brandon Soppy,FRA,Rennes,Ligue 1,18,2002,6.2,0,5,1,20,0.81,0.16,0,0,25.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
David Soria,ESP,Getafe,La Liga,27,1993,28,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Roberto Soriano,ITA,Bologna,Serie A,29,1991,36.1,9,61,19,31.1,1.69,0.53,0.15,0.47,17.5,0,0,0,6.2,6.2,0.1,2.8,2.8
Alberto Soro,ESP,Granada,La Liga,21,1999,4.4,1,2,1,50,0.46,0.23,0.5,1,9.9,0,0,0,0.8,0.8,0.39,0.2,0.2
Borna Sosa,CRO,Stuttgart,Bundesliga,22,1998,22.7,0,14,3,21.4,0.62,0.13,0,0,21.7,2,0,0,0.6,0.6,0.04,-0.6,-0.6
Hugo Sotelo,ESP,Celta Vigo,La Liga,16,2003,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Florian Sotoca,FRA,Lens,Ligue 1,29,1990,26.8,8,69,18,26.1,2.57,0.67,0.09,0.33,13.4,0,2,2,9.9,8.4,0.12,-1.9,-2.4
Riccardo Sottil,ITA,Cagliari,Serie A,21,1999,13.2,2,25,9,36,1.9,0.68,0.08,0.22,17,0,0,0,2,2,0.08,0,0
Cheick Souaré,FRA,Marseille,Ligue 1,17,2002,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Tomáš Souček,CZE,West Ham,English Premier League,25,1995,38,10,64,23,35.9,1.68,0.61,0.16,0.43,11.4,0,0,0,9.2,9.2,0.15,0.8,0.8
Rayan Souici,FRA,Saint-Étienne,Ligue 1,22,1998,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Cebio Soukou,BEN,Arminia,Bundesliga,27,1992,5.1,1,9,1,11.1,1.77,0.2,0.11,1,19.9,0,0,0,0.8,0.8,0.08,0.2,0.2
Adama Soumaoro,FRA,Bologna,Serie A,28,1992,19.5,1,7,2,28.6,0.36,0.1,0.14,0.5,7.4,0,0,0,1.2,1.2,0.17,-0.2,-0.2
Adama Soumaoro,FRA,Lille,Ligue 1,28,1992,1.6,0,2,0,0,1.24,0,0,NA,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Boubakary Soumaré,FRA,Lille,Ligue 1,21,1999,21.3,0,9,3,33.3,0.42,0.14,0,0,23.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Yaya Soumaré,FRA,Lyon,Ligue 1,20,2000,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Arnaud Souquet,FRA,Montpellier,Ligue 1,28,1992,13.6,1,6,2,33.3,0.44,0.15,0.17,0.5,24.4,0,0,0,0.2,0.2,0.03,0.8,0.8
Ansou Sow,FRA,Lens,Ligue 1,20,2000,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Djibril Sow,SUI,Eint Frankfurt,Bundesliga,23,1997,24.2,0,11,3,27.3,0.46,0.12,0,0,21.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Saidou Sow,GUI,Saint-Étienne,Ligue 1,18,2002,11.1,0,2,1,50,0.18,0.09,0,0,7.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Çağlar Söyüncü,TUR,Leicester City,English Premier League,24,1996,20.2,1,9,3,33.3,0.45,0.15,0.11,0.33,10.2,0,0,0,0.5,0.5,0.06,0.5,0.5
Leonardo Spinazzola,ITA,Roma,Serie A,27,1993,23.6,2,22,6,27.3,0.93,0.25,0.09,0.33,17.4,0,0,0,2,2,0.09,0,0
Marco Sportiello,ITA,Atalanta,Serie A,28,1992,14,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Mattia Sprocati,ITA,Parma,Serie A,27,1993,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Jerry St. Juste,NED,Mainz 05,Bundesliga,23,1996,32,0,22,4,18.2,0.69,0.12,0,0,16.3,4,0,0,2,2,0.09,-2,-2
Benjamin Stambouli,FRA,Schalke 04,Bundesliga,29,1990,21.7,0,2,1,50,0.09,0.05,0,0,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Josip Stanišić,CRO,Bayern Munich,Bundesliga,20,2000,1,0,2,0,0,2,0,0,NA,7.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Niklas Stark,GER,Hertha BSC,Bundesliga,25,1995,31,0,11,3,27.3,0.35,0.1,0,0,9.8,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Renato Steffen,SUI,Wolfsburg,Bundesliga,28,1991,17.4,5,30,14,46.7,1.72,0.8,0.17,0.36,14.6,0,0,0,4.3,4.3,0.14,0.7,0.7
Zack Steffen,USA,Manchester City,English Premier League,25,1995,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Pascal Stenzel,GER,Stuttgart,Bundesliga,24,1996,14.2,0,5,1,20,0.35,0.07,0,0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Dale Stephens,ENG,Burnley,English Premier League,31,1989,2.9,0,4,0,0,1.38,0,0,NA,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Jack Stephens,ENG,Southampton,English Premier League,26,1994,17.1,0,6,2,33.3,0.35,0.12,0,0,8.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7
Raheem Sterling,ENG,Manchester City,English Premier League,25,1994,28.2,10,67,28,41.8,2.38,0.99,0.15,0.36,14.4,3,0,1,12.2,11.4,0.17,-2.2,-1.4
Enda Stevens,IRL,Sheffield Utd,English Premier League,30,1990,30,0,16,4,25,0.53,0.13,0,0,18.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1
Lars Stindl,GER,M'Gladbach,Bundesliga,31,1988,21.8,14,49,22,44.9,2.25,1.01,0.16,0.36,19.8,6,6,7,10,4.7,0.1,4,3.3
Kevin Stöger,AUT,Mainz 05,Bundesliga,26,1993,6,3,9,4,44.4,1.51,0.67,0.33,0.75,15.1,0,0,0,1.6,1.6,0.18,1.4,1.4
